S. No,PlanPlatform,TypeofPlan,PlanEffDate,PlanTermDate,Benefits,City,State,Members,Claims
314,Medicare,Medicare Part A,1/1/2017,12/31/9999,Dental,Avon,Ohio,32,8
315,Traditional,PPO,7/1/2019,6/30/2019,Dental,Avon,PA,47,45
316,Medicare,PPO,1/31/2017,12/31/9999,Dental,YY,Ohio,150,8
317,Traditional,HNO,1/1/2017,12/31/9999,Pharmacy,AA,Ohio,47,120
318,Medicare,Medicare Part B,6/15/2017,12/31/9999,clinical,AA,PA,12,70
319,Medicare,Medicare Part B,1/1/2018,12/31/9999,Pharmacy,Avon,TX,150,42
320,HMO,Medicare Part D,7/1/2019,5/30/2019,Pharmacy,AA,Ohio,47,16
321,Medicaid,HMO Medical,5/31/2019,12/31/9999,Pharmacy,AA,CT,52,70
322,HMO,Medicare Part B,5/31/2019,1/31/2019,Pharmacy,YY,CT,12,42
323,Medicaid,Medicare Advantage / Part C,7/1/2019,5/31/2019,Pharmacy,AA,Ohio,83,16
324,Traditional,HNO,5/31/2019,12/31/9999,Pharmacy,XX,PA,12,120
325,Medicare,HMO Medical,1/1/2017,12/31/9999,Pharmacy,AA,CT,52,42
326,Traditional,HNO,7/1/2019,12/31/9999,clinical,AA,Ohio,52,8
327,HMO,POS,1/31/2017,12/31/9999,clinical,Avon,PA,83,42
328,Medicare,Medicare Advantage / Part C,1/1/2018,5/30/2019,clinical,XX,Ohio,65,52
329,Medicare,HMO Commercial,7/1/2019,5/31/2019,Dental,Avon,Ohio,83,85
330,Medicare,Medicare Part B,5/31/2019,12/31/9999,Dental,Avon,PA,65,42
331,HMO,Medicaid,7/1/2019,12/31/9999,Pharmacy,YY,CT,83,42
332,Medicare,HNO,6/15/2017,5/31/2019,Pharmacy,YY,PA,65,120
333,Traditional,POS,7/1/2019,12/31/2017,clinical,Avon,Ohio,65,85
334,HMO,PPO,1/1/2017,1/31/2019,Pharmacy,ZZ,Ohio,65,16
335,HMO,HMO Medical,5/31/2019,12/31/9999,Dental,AA,Ohio,85,120
336,Medicaid,Medicare Part D,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,83,45
337,Medicare,Medicare Part B,5/31/2019,12/31/9999,clinical,YY,CT,86,120
338,Traditional,Medicare Part D,5/31/2019,12/31/9999,clinical,ZZ,Ohio,32,42
339,Medicare,Medicare Part D,6/15/2017,5/30/2019,Pharmacy,YY,CT,65,45
340,Medicare,Medicare Part D,1/31/2017,12/31/9999,Pharmacy,AA,PA,32,52
341,HMO,EPOs,1/1/2017,12/31/2017,clinical,AA,Ohio,65,120
342,Medicaid,HMO Commercial,1/31/2017,1/31/2019,Pharmacy,YY,TX,65,42
343,Medicare,Medicare Part B,5/31/2019,12/31/9999,clinical,YY,TX,32,42
344,Medicare,Medicare Part B,1/1/2017,12/31/9999,clinical,XX,TX,52,16
345,HMO,Medicare Part A,7/1/2019,12/31/9999,Dental,ZZ,Ohio,83,16
346,Medicare,Medicare Part D,5/31/2019,12/31/9999,clinical,YY,Ohio,47,42
347,HMO,Medicare Part D,5/31/2019,12/31/9999,clinical,AA,CT,32,16
348,HMO,EPOs,1/1/2017,12/31/9999,Pharmacy,XX,CT,65,85
349,Traditional,HMO Commercial,7/1/2019,12/31/9999,Pharmacy,AA,PA,12,31
350,Medicare,POS,5/31/2019,12/31/9999,Pharmacy,AA,PA,83,8
351,HMO,Medicaid,7/1/2019,12/31/9999,clinical,AA,PA,32,16
352,HMO,PPO,5/31/2019,12/31/9999,clinical,AA,Ohio,86,42
353,HMO,Medicare Part B,6/15/2017,12/31/9999,Pharmacy,AA,Ohio,32,70
354,Medicare,EPOs,1/1/2017,5/30/2019,Pharmacy,AA,PA,47,85
355,Medicare,Medicare Part B,6/15/2017,5/31/2019,Pharmacy,Avon,PA,86,16
356,HMO,Medicare Part A,1/1/2017,12/31/9999,Dental,XX,Ohio,65,42
357,Medicare,PPO,1/31/2017,12/31/9999,Dental,YY,TX,83,70
358,Traditional,Medicare Part A,7/1/2019,5/31/2019,Pharmacy,AA,PA,150,8
359,Medicaid,Medicare Advantage / Part C,6/15/2017,12/31/9999,Dental,AA,PA,47,42
360,Traditional,POS,1/1/2018,12/31/9999,Pharmacy,YY,Ohio,12,52
361,Traditional,Medicaid,6/15/2017,12/31/9999,clinical,Avon,Ohio,32,45
362,HMO,EPOs,1/1/2017,12/31/9999,clinical,YY,CT,83,52
363,Medicare,HMO Commercial,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,65,85
364,Medicare,Medicaid,7/1/2019,12/31/9999,Dental,AA,Ohio,150,70
365,Medicare,HNO,5/31/2019,5/30/2019,Pharmacy,AA,CT,32,16
366,Medicare,HNO,6/15/2017,12/31/9999,Pharmacy,AA,CT,65,120
367,Medicare,HMO Medical,6/15/2017,12/31/9999,Pharmacy,AA,PA,32,8
368,Medicare,Medicare Part A,1/1/2017,6/30/2019,Dental,AA,Ohio,12,70
369,HMO,Medicaid,7/1/2019,5/31/2019,Pharmacy,ZZ,Ohio,32,16
370,Medicare,POS,5/31/2019,12/31/9999,Pharmacy,AA,PA,32,16
371,Medicare,PPO,6/15/2017,5/31/2019,Dental,Avon,Ohio,52,70
372,HMO,HMO Commercial,5/31/2019,5/31/2019,clinical,YY,Ohio,86,16
373,Traditional,Medicaid,7/1/2019,6/30/2019,Pharmacy,YY,Ohio,85,8
374,Medicare,EPOs,5/31/2019,12/31/9999,Dental,AA,Ohio,65,31
375,HMO,Medicaid,5/31/2019,5/30/2019,Pharmacy,Avon,Ohio,150,31
376,Medicaid,Medicare Advantage / Part C,1/1/2017,12/31/9999,clinical,XX,Ohio,65,16
377,Medicaid,Medicare Part B,5/31/2019,12/31/2017,Pharmacy,YY,Ohio,32,16
378,Medicare,Medicare Part B,7/1/2019,5/30/2019,clinical,ZZ,CT,86,8
379,Medicaid,HMO Medical,1/1/2017,6/30/2019,clinical,AA,PA,86,42
380,Medicare,EPOs,1/1/2017,12/31/9999,clinical,AA,CT,65,70
381,Traditional,POS,5/31/2019,5/31/2019,Pharmacy,AA,CT,83,16
382,HMO,Medicare Part D,1/31/2017,12/31/9999,Dental,Avon,CT,65,52
383,HMO,POS,5/31/2019,12/31/9999,Dental,YY,PA,65,120
384,Traditional,EPOs,6/15/2017,12/31/9999,Pharmacy,ZZ,PA,86,31
385,Medicaid,HMO Medical,7/1/2019,6/30/2019,Dental,Avon,PA,47,52
386,Medicare,Medicare Part B,6/15/2017,1/31/2019,Dental,AA,PA,47,8
387,Traditional,HMO Commercial,1/1/2017,6/30/2019,Dental,YY,PA,12,42
388,HMO,HMO Medical,5/31/2019,12/31/9999,clinical,AA,PA,83,120
389,Traditional,HNO,6/15/2017,1/31/2019,Pharmacy,AA,PA,83,70
390,HMO,HMO Medical,5/31/2019,5/31/2019,Pharmacy,Avon,Ohio,52,42
391,Traditional,Medicare Advantage / Part C,1/1/2017,12/31/9999,Pharmacy,AA,CT,32,120
392,HMO,HMO Commercial,7/1/2019,12/31/9999,Pharmacy,Avon,PA,86,45
393,Medicare,POS,7/1/2019,12/31/9999,Dental,YY,CT,12,16
394,Medicaid,HMO Commercial,7/1/2019,5/31/2019,Pharmacy,AA,Ohio,86,120
395,Medicaid,POS,7/1/2019,5/31/2019,Dental,ZZ,Ohio,86,42
396,Traditional,HNO,5/31/2019,12/31/9999,Dental,AA,CT,65,8
397,Medicare,HNO,1/1/2017,6/30/2019,Pharmacy,AA,CT,65,85
398,HMO,HNO,1/1/2017,12/31/9999,Pharmacy,ZZ,PA,86,16
399,Traditional,Medicare Part A,1/1/2017,12/31/2017,Pharmacy,Avon,Ohio,12,70
400,Medicare,Medicaid,1/1/2017,6/30/2019,Pharmacy,AA,Ohio,83,31
401,Medicare,HMO Commercial,7/1/2019,12/31/2017,Pharmacy,ZZ,Ohio,32,42
402,Traditional,Medicaid,7/1/2019,5/31/2019,Pharmacy,AA,CT,85,85
403,Medicaid,HNO,6/15/2017,6/30/2019,Pharmacy,AA,CT,47,42
404,Medicaid,Medicare Advantage / Part C,1/1/2018,12/31/9999,Dental,YY,Ohio,47,52
405,HMO,HMO Medical,5/31/2019,5/30/2019,Dental,YY,Ohio,86,70
406,HMO,Medicare Advantage / Part C,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,47,85
407,Traditional,Medicaid,5/31/2019,12/31/2017,Pharmacy,Avon,CT,32,120
408,Traditional,Medicare Advantage / Part C,7/1/2019,12/31/9999,Dental,AA,TX,65,16
409,HMO,HMO Medical,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,83,52
410,Medicare,EPOs,7/1/2019,5/31/2019,Pharmacy,Avon,CT,83,31
411,Traditional,HNO,7/1/2019,5/31/2019,Pharmacy,Avon,Ohio,65,120
412,Medicaid,POS,7/1/2019,12/31/2017,clinical,AA,TX,47,70
413,Medicaid,HMO Medical,6/15/2017,12/31/9999,clinical,Avon,PA,12,70
414,Medicare,Medicare Part B,6/15/2017,12/31/9999,Dental,YY,Ohio,65,42
415,Medicare,HNO,6/15/2017,5/30/2019,Pharmacy,YY,Ohio,65,42
416,HMO,POS,7/1/2019,12/31/9999,clinical,Avon,Ohio,32,120
417,HMO,POS,1/31/2017,12/31/9999,Dental,AA,PA,32,120
418,Medicare,Medicare Part D,5/31/2019,6/30/2019,Pharmacy,Avon,PA,83,70
419,HMO,Medicare Part B,5/31/2019,12/31/9999,Dental,Avon,Ohio,47,16
420,Medicare,EPOs,7/1/2019,12/31/2017,clinical,Avon,PA,150,31
421,Medicare,HMO Medical,6/15/2017,12/31/9999,Pharmacy,Avon,Ohio,150,45
422,Traditional,Medicare Part A,1/1/2017,12/31/9999,clinical,AA,PA,12,70
423,Medicare,Medicare Part A,7/1/2019,1/31/2019,Pharmacy,Avon,CT,150,42
424,Medicaid,EPOs,1/1/2017,12/31/2017,clinical,YY,CT,32,52
425,Medicare,Medicare Part B,6/15/2017,1/31/2019,Pharmacy,YY,PA,32,70
426,Medicare,PPO,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,32,52
427,Medicare,Medicare Part D,7/1/2019,5/31/2019,Dental,YY,PA,86,42
428,Medicare,EPOs,1/1/2018,12/31/2017,Dental,YY,CT,12,45
429,Medicare,HNO,5/31/2019,12/31/2017,Pharmacy,YY,Ohio,65,42
430,HMO,PPO,1/31/2017,6/30/2019,Pharmacy,AA,PA,12,42
431,HMO,Medicare Part D,1/1/2017,12/31/9999,clinical,Avon,PA,32,70
432,HMO,Medicare Part B,7/1/2019,12/31/9999,Pharmacy,YY,CT,47,16
433,Medicare,HMO Medical,6/15/2017,12/31/9999,Pharmacy,XX,PA,83,16
434,Medicare,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,XX,CT,85,42
435,Traditional,HNO,7/1/2019,1/31/2019,Pharmacy,Avon,TX,85,52
436,HMO,HNO,1/31/2017,12/31/9999,Dental,Avon,CT,32,16
437,HMO,Medicare Part D,5/31/2019,1/31/2019,clinical,AA,Ohio,65,45
438,Traditional,Medicaid,5/31/2019,12/31/9999,Pharmacy,YY,Ohio,32,42
439,Medicare,Medicare Part B,6/15/2017,12/31/9999,Pharmacy,YY,PA,52,45
440,Traditional,HMO Medical,5/31/2019,1/31/2019,clinical,AA,Ohio,47,31
441,HMO,POS,7/1/2019,12/31/2017,Dental,ZZ,PA,86,42
442,Medicare,HMO Medical,5/31/2019,12/31/9999,Dental,AA,Ohio,32,120
443,Medicare,Medicare Part B,7/1/2019,12/31/2017,clinical,AA,CT,47,16
444,Traditional,Medicare Part B,5/31/2019,5/31/2019,Dental,AA,CT,65,120
445,HMO,Medicare Part D,6/15/2017,5/30/2019,Pharmacy,ZZ,PA,32,42
446,Traditional,HMO Commercial,1/1/2017,5/31/2019,Pharmacy,XX,CT,52,52
447,Medicare,Medicare Advantage / Part C,7/1/2019,5/30/2019,Pharmacy,XX,CT,12,85
448,Medicare,Medicare Part D,1/1/2017,12/31/9999,Dental,AA,Ohio,85,120
449,HMO,Medicare Advantage / Part C,5/31/2019,12/31/9999,Dental,ZZ,Ohio,65,45
450,Medicare,Medicare Part D,7/1/2019,12/31/9999,clinical,XX,Ohio,86,42
451,Medicare,EPOs,5/31/2019,5/31/2019,Pharmacy,YY,Ohio,52,31
452,Medicaid,HMO Commercial,7/1/2019,12/31/9999,Pharmacy,ZZ,Ohio,12,16
453,HMO,HMO Medical,5/31/2019,12/31/9999,Pharmacy,YY,Ohio,32,31
454,Medicare,Medicare Part B,1/1/2017,12/31/9999,Pharmacy,YY,Ohio,83,70
455,Medicare,PPO,5/31/2019,12/31/2017,clinical,YY,PA,32,16
456,Medicare,HNO,7/1/2019,12/31/9999,Pharmacy,YY,PA,32,16
457,Traditional,EPOs,5/31/2019,12/31/9999,Pharmacy,YY,CT,52,8
458,Medicare,Medicare Part D,5/31/2019,12/31/9999,Pharmacy,Avon,PA,83,45
459,Medicare,HMO Commercial,5/31/2019,1/31/2019,clinical,AA,CT,12,120
460,HMO,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,YY,Ohio,32,45
461,Medicaid,HNO,5/31/2019,12/31/9999,Dental,YY,Ohio,32,85
462,HMO,HNO,7/1/2019,1/31/2019,Pharmacy,AA,TX,85,52
463,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,Pharmacy,Avon,TX,32,8
464,Traditional,EPOs,1/1/2017,12/31/9999,Pharmacy,Avon,PA,85,120
465,Medicare,EPOs,7/1/2019,12/31/9999,Pharmacy,AA,TX,52,45
466,Medicare,Medicare Part B,7/1/2019,5/30/2019,Dental,YY,CT,83,70
467,Medicare,PPO,6/15/2017,12/31/9999,Pharmacy,Avon,CT,86,16
468,Medicare,POS,1/1/2017,12/31/9999,clinical,AA,Ohio,65,52
469,Medicaid,Medicaid,1/1/2018,5/31/2019,clinical,ZZ,PA,47,85
470,Medicaid,Medicare Advantage / Part C,1/31/2017,6/30/2019,clinical,Avon,CT,32,16
471,Traditional,Medicare Advantage / Part C,5/31/2019,12/31/9999,Pharmacy,XX,Ohio,86,45
472,Medicare,PPO,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,32,70
473,HMO,HMO Medical,7/1/2019,5/31/2019,Pharmacy,Avon,CT,65,8
474,Traditional,POS,5/31/2019,6/30/2019,clinical,Avon,Ohio,83,45
475,Medicaid,POS,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,85,16
476,HMO,HMO Medical,7/1/2019,5/30/2019,clinical,XX,Ohio,12,42
477,HMO,HMO Commercial,6/15/2017,5/30/2019,clinical,AA,PA,150,8
478,HMO,HMO Commercial,7/1/2019,1/31/2019,clinical,AA,Ohio,83,16
479,Medicaid,PPO,1/1/2018,12/31/9999,Dental,Avon,Ohio,85,16
480,Medicaid,PPO,1/1/2017,5/31/2019,Pharmacy,Avon,PA,83,52
481,Medicare,HNO,1/1/2018,5/31/2019,Dental,ZZ,Ohio,83,31
482,Medicare,Medicare Part B,1/1/2018,12/31/9999,Pharmacy,YY,PA,65,70
483,HMO,HMO Medical,5/31/2019,12/31/9999,Pharmacy,ZZ,TX,32,16
484,Medicaid,Medicare Advantage / Part C,5/31/2019,12/31/9999,clinical,Avon,PA,32,42
485,Medicare,HNO,7/1/2019,12/31/9999,Pharmacy,YY,PA,85,52
486,Medicare,Medicare Part A,5/31/2019,6/30/2019,clinical,ZZ,Ohio,83,8
487,Medicare,PPO,5/31/2019,5/31/2019,Pharmacy,AA,Ohio,65,42
488,Medicare,Medicare Part A,5/31/2019,12/31/9999,Dental,YY,TX,150,70
489,Medicaid,HMO Medical,1/1/2017,12/31/9999,Pharmacy,Avon,PA,65,16
490,Medicare,Medicare Part A,7/1/2019,12/31/9999,clinical,YY,Ohio,83,8
491,Traditional,PPO,7/1/2019,12/31/9999,Pharmacy,Avon,Ohio,150,16
492,Traditional,Medicare Part B,6/15/2017,12/31/9999,Pharmacy,Avon,PA,65,52
493,Traditional,Medicare Part B,1/1/2018,12/31/9999,clinical,YY,PA,150,70
494,Medicare,Medicare Advantage / Part C,6/15/2017,5/30/2019,Pharmacy,YY,PA,85,31
495,Traditional,HNO,7/1/2019,12/31/9999,Dental,YY,Ohio,83,52
496,Traditional,HMO Medical,5/31/2019,1/31/2019,Pharmacy,XX,Ohio,32,31
497,Medicaid,PPO,1/1/2017,5/30/2019,Dental,YY,Ohio,86,31
498,Medicaid,Medicare Part A,1/1/2017,12/31/9999,Pharmacy,Avon,Ohio,47,45
499,Traditional,HMO Medical,1/1/2018,12/31/9999,Pharmacy,AA,Ohio,52,45
500,HMO,PPO,1/1/2017,12/31/9999,Pharmacy,AA,CT,65,70
501,Medicare,Medicaid,1/31/2017,6/30/2019,Pharmacy,YY,CT,32,42
502,Medicare,HMO Medical,1/31/2017,5/30/2019,Pharmacy,YY,Ohio,85,70
503,Traditional,HNO,1/1/2017,12/31/9999,clinical,Avon,CT,83,70
504,Medicare,HMO Medical,7/1/2019,5/30/2019,Dental,AA,CT,32,8
505,Traditional,HNO,1/31/2017,6/30/2019,Dental,AA,PA,83,31
506,Medicare,HMO Commercial,5/31/2019,12/31/9999,Pharmacy,XX,Ohio,85,70
507,Traditional,Medicare Part D,6/15/2017,12/31/9999,clinical,YY,PA,85,52
508,Traditional,Medicare Part A,1/1/2018,12/31/9999,clinical,YY,PA,65,52
509,Traditional,HMO Commercial,5/31/2019,5/31/2019,clinical,YY,PA,85,52
510,Medicare,HNO,7/1/2019,5/31/2019,Pharmacy,AA,CT,85,45
511,Medicare,Medicare Part A,1/1/2018,12/31/9999,clinical,YY,CT,65,85
512,Traditional,POS,5/31/2019,5/30/2019,clinical,AA,Ohio,32,16
513,HMO,Medicare Part D,7/1/2019,12/31/9999,clinical,AA,TX,150,8
514,Traditional,EPOs,1/31/2017,12/31/9999,Pharmacy,YY,PA,32,16
515,Traditional,Medicare Part D,1/1/2017,12/31/2017,Dental,AA,Ohio,85,85
516,HMO,PPO,5/31/2019,12/31/2017,clinical,YY,TX,150,52
517,Medicare,Medicare Advantage / Part C,1/31/2017,12/31/9999,clinical,AA,TX,12,45
518,Traditional,HNO,7/1/2019,12/31/9999,Dental,AA,Ohio,83,42
519,HMO,EPOs,7/1/2019,12/31/9999,Dental,AA,Ohio,12,16
520,HMO,Medicaid,7/1/2019,5/31/2019,clinical,Avon,Ohio,65,16
521,Medicare,Medicare Advantage / Part C,5/31/2019,1/31/2019,clinical,XX,CT,86,70
522,HMO,HMO Commercial,1/1/2017,5/31/2019,clinical,YY,Ohio,65,16
523,HMO,Medicaid,1/31/2017,5/30/2019,clinical,YY,CT,32,16
524,Traditional,PPO,5/31/2019,1/31/2019,clinical,AA,PA,32,45
525,Medicaid,Medicaid,7/1/2019,12/31/9999,Pharmacy,Avon,PA,52,42
526,HMO,EPOs,5/31/2019,5/31/2019,Dental,YY,PA,83,45
527,Medicare,HMO Medical,1/1/2017,1/31/2019,Dental,AA,CT,83,120
528,HMO,HMO Medical,5/31/2019,5/31/2019,Dental,ZZ,TX,65,70
529,Traditional,HMO Commercial,1/1/2017,12/31/9999,Dental,AA,CT,32,8
530,HMO,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,YY,CT,47,70
531,Medicare,Medicare Part A,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,52,42
532,Medicare,HMO Commercial,6/15/2017,5/31/2019,Pharmacy,YY,CT,86,70
533,Traditional,Medicaid,7/1/2019,12/31/9999,Dental,Avon,Ohio,150,45
534,HMO,HMO Medical,7/1/2019,1/31/2019,Pharmacy,YY,Ohio,47,8
535,Traditional,Medicare Part D,6/15/2017,12/31/9999,Pharmacy,Avon,Ohio,47,85
536,Medicare,HMO Medical,7/1/2019,5/31/2019,Dental,Avon,Ohio,65,120
537,Traditional,Medicaid,6/15/2017,5/30/2019,Pharmacy,YY,PA,65,42
538,HMO,HNO,5/31/2019,12/31/9999,clinical,Avon,Ohio,65,120
539,HMO,EPOs,1/1/2017,12/31/9999,Pharmacy,AA,TX,86,42
540,HMO,Medicare Advantage / Part C,1/1/2017,5/30/2019,Pharmacy,Avon,PA,85,42
541,Medicare,Medicare Advantage / Part C,5/31/2019,12/31/9999,clinical,Avon,PA,83,16
542,Medicare,PPO,7/1/2019,12/31/9999,Pharmacy,Avon,PA,32,120
543,Medicare,POS,1/31/2017,12/31/9999,Dental,Avon,Ohio,12,16
544,Medicaid,EPOs,1/1/2018,5/31/2019,clinical,ZZ,Ohio,52,70
545,HMO,POS,5/31/2019,1/31/2019,Pharmacy,YY,Ohio,150,8
546,HMO,POS,7/1/2019,12/31/9999,Pharmacy,XX,CT,65,70
547,Medicare,Medicare Part A,1/1/2018,12/31/9999,Pharmacy,ZZ,Ohio,52,42
548,Medicare,POS,5/31/2019,1/31/2019,Pharmacy,ZZ,PA,83,85
549,HMO,HMO Commercial,1/1/2017,5/31/2019,clinical,YY,PA,83,120
550,Traditional,POS,1/31/2017,12/31/9999,Pharmacy,Avon,Ohio,83,70
551,HMO,Medicare Part D,1/1/2018,5/31/2019,Pharmacy,AA,PA,65,8
552,Medicare,Medicare Part B,5/31/2019,12/31/9999,clinical,YY,Ohio,86,70
553,Medicare,HMO Commercial,1/1/2018,6/30/2019,Pharmacy,YY,Ohio,32,85
554,HMO,Medicaid,5/31/2019,6/30/2019,Pharmacy,YY,PA,32,85
555,Traditional,EPOs,5/31/2019,1/31/2019,Pharmacy,YY,Ohio,47,120
556,HMO,HNO,1/31/2017,6/30/2019,Pharmacy,YY,CT,47,120
557,Traditional,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,AA,Ohio,86,45
558,Medicare,HMO Commercial,7/1/2019,1/31/2019,clinical,YY,Ohio,32,42
559,Medicare,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,32,8
560,Traditional,HNO,5/31/2019,5/31/2019,Pharmacy,Avon,PA,32,70
561,Traditional,HMO Commercial,5/31/2019,12/31/9999,Dental,Avon,Ohio,150,85
562,Traditional,PPO,5/31/2019,12/31/9999,clinical,Avon,Ohio,32,45
563,Medicare,Medicare Advantage / Part C,1/1/2018,5/30/2019,clinical,YY,TX,52,16
564,Medicare,HMO Commercial,1/1/2017,12/31/9999,Pharmacy,Avon,Ohio,86,31
565,Medicare,Medicare Advantage / Part C,7/1/2019,12/31/9999,Pharmacy,Avon,PA,65,70
566,HMO,PPO,5/31/2019,1/31/2019,Dental,AA,Ohio,65,42
567,Medicare,Medicaid,1/1/2018,6/30/2019,Pharmacy,AA,CT,52,16
568,Medicare,Medicaid,1/1/2017,6/30/2019,clinical,Avon,CT,85,31
569,Traditional,POS,6/15/2017,1/31/2019,clinical,AA,Ohio,65,45
570,Medicare,Medicaid,1/31/2017,5/31/2019,Dental,XX,CT,83,16
571,Medicare,HMO Medical,1/1/2017,5/31/2019,Pharmacy,AA,Ohio,65,16
572,Traditional,Medicare Part A,1/1/2018,5/31/2019,Dental,AA,PA,83,120
573,HMO,HMO Medical,7/1/2019,5/31/2019,Pharmacy,XX,Ohio,150,45
574,HMO,Medicare Part A,5/31/2019,12/31/9999,clinical,YY,Ohio,83,16
575,Traditional,HNO,5/31/2019,12/31/9999,clinical,YY,Ohio,12,8
576,Medicare,Medicare Part B,7/1/2019,5/30/2019,Pharmacy,AA,CT,65,42
577,Medicare,Medicare Part A,1/31/2017,12/31/2017,Dental,AA,TX,32,45
578,Medicare,HNO,7/1/2019,12/31/9999,Pharmacy,XX,Ohio,85,70
579,HMO,EPOs,6/15/2017,1/31/2019,clinical,Avon,Ohio,65,42
580,HMO,PPO,7/1/2019,12/31/9999,Pharmacy,AA,Ohio,32,85
581,Medicaid,EPOs,7/1/2019,5/31/2019,Dental,AA,PA,86,16
582,Traditional,PPO,5/31/2019,5/31/2019,Pharmacy,YY,PA,86,8
583,Traditional,Medicaid,5/31/2019,5/30/2019,Pharmacy,AA,Ohio,86,85
584,Traditional,HMO Medical,5/31/2019,12/31/9999,Pharmacy,YY,PA,32,42
585,HMO,Medicare Part D,7/1/2019,5/30/2019,clinical,Avon,Ohio,150,42
586,Medicaid,Medicare Part A,5/31/2019,1/31/2019,Dental,AA,Ohio,150,16
587,HMO,Medicare Advantage / Part C,1/1/2017,5/31/2019,Pharmacy,AA,Ohio,12,85
588,Traditional,POS,7/1/2019,5/31/2019,Pharmacy,YY,Ohio,47,16
589,Traditional,Medicare Part A,5/31/2019,12/31/9999,Pharmacy,Avon,Ohio,150,16
590,HMO,HMO Commercial,5/31/2019,12/31/2017,Pharmacy,ZZ,Ohio,12,45
591,HMO,EPOs,1/1/2017,12/31/9999,Pharmacy,Avon,PA,52,52
592,HMO,HNO,5/31/2019,12/31/9999,clinical,YY,Ohio,52,8
593,Medicare,POS,5/31/2019,12/31/9999,clinical,AA,Ohio,32,120
594,Traditional,Medicare Advantage / Part C,7/1/2019,12/31/9999,Pharmacy,YY,Ohio,85,16
595,HMO,HMO Medical,5/31/2019,12/31/2017,Pharmacy,AA,Ohio,150,70
596,Medicare,HMO Medical,1/1/2017,12/31/2017,clinical,Avon,CT,86,70
597,HMO,Medicare Advantage / Part C,5/31/2019,5/31/2019,Pharmacy,Avon,Ohio,86,120
598,Traditional,Medicare Part A,1/1/2017,12/31/9999,Pharmacy,ZZ,CT,86,70
599,HMO,PPO,5/31/2019,12/31/9999,clinical,YY,PA,12,45
600,Medicare,Medicare Part D,1/1/2017,6/30/2019,Pharmacy,YY,Ohio,47,42
601,HMO,Medicare Part B,7/1/2019,12/31/9999,Dental,AA,Ohio,86,52
602,Medicare,Medicare Part A,7/1/2019,6/30/2019,Dental,YY,CT,86,31
603,Medicaid,Medicaid,7/1/2019,1/31/2019,clinical,AA,Ohio,83,16
604,Traditional,HMO Commercial,5/31/2019,12/31/9999,Dental,Avon,TX,32,120
605,Traditional,HMO Commercial,5/31/2019,5/31/2019,Dental,Avon,CT,32,42
606,Medicare,HNO,7/1/2019,12/31/9999,Dental,AA,Ohio,12,120
607,Medicare,Medicare Part D,7/1/2019,1/31/2019,Pharmacy,Avon,TX,52,52
608,Medicare,Medicare Part B,5/31/2019,6/30/2019,Pharmacy,AA,PA,52,42
609,Traditional,Medicaid,7/1/2019,5/31/2019,Pharmacy,AA,PA,47,70
610,Medicare,HNO,6/15/2017,1/31/2019,Pharmacy,AA,Ohio,32,16
611,Traditional,Medicare Part B,7/1/2019,1/31/2019,Pharmacy,YY,TX,32,31
612,Medicaid,Medicare Part D,5/31/2019,1/31/2019,Pharmacy,Avon,PA,65,45
613,Medicare,Medicare Part B,5/31/2019,12/31/9999,clinical,YY,PA,32,85
614,HMO,Medicare Part A,7/1/2019,12/31/9999,Dental,AA,Ohio,32,120
615,HMO,Medicare Part A,7/1/2019,5/30/2019,Pharmacy,YY,PA,65,8
616,Medicare,Medicare Part D,5/31/2019,12/31/2017,clinical,AA,TX,85,16
617,Traditional,Medicaid,1/1/2017,12/31/9999,clinical,Avon,CT,86,42
618,Traditional,PPO,5/31/2019,5/30/2019,Pharmacy,Avon,PA,32,16
619,Traditional,HMO Medical,7/1/2019,12/31/9999,Pharmacy,ZZ,TX,85,8
620,Medicaid,Medicare Part B,5/31/2019,12/31/9999,Pharmacy,Avon,PA,150,8
621,Medicare,HMO Commercial,5/31/2019,6/30/2019,Pharmacy,XX,TX,52,31
622,Medicare,HMO Medical,7/1/2019,5/31/2019,clinical,YY,CT,32,45
623,Medicare,EPOs,5/31/2019,5/31/2019,Dental,AA,PA,65,70
624,HMO,Medicare Part D,7/1/2019,12/31/9999,clinical,ZZ,CT,83,16
625,Traditional,EPOs,1/1/2017,6/30/2019,Pharmacy,AA,CT,85,42
626,Medicaid,Medicare Advantage / Part C,5/31/2019,5/30/2019,clinical,AA,Ohio,65,8
627,Medicare,Medicare Part D,1/1/2017,5/30/2019,Pharmacy,YY,TX,52,31
